Semester,Gender,Quiz,Attendance,Presentation,Assignment,Mid,Final,TotalMark,SGPA
5,0,15.0,5.05,5.78,3.61,25.0,17.761,72.2,3.61
7,1,12.0,4.38,5.01,3.13,12.0,26.1,62.6,3.13
11,1,12.0,3.5,4.0,2.5,15.0,13.0,50.0,2.5
7,1,10.0,4.73,5.41,3.38,15.25,28.83,67.6,3.38
5,0,10.0,4.58,5.23,3.27,11.0,31.32,65.4,3.27
5,0,9.0,3.53,4.03,2.52,8.0,23.32,50.4,2.52
6,0,12.0,4.77,5.46,3.41,18.0,24.56,68.2,3.41
4,0,7.0,4.33,4.94,3.09,11.0,31.44,61.8,3.09
2,1,4.0,3.19,3.65,2.28,15.0,17.48,45.6,2.28
2,1,5.0,4.06,4.64,2.9,13.0,28.4,58.0,2.9
11,1,10.0,3.77,4.3,2.69,7.5,25.54,53.8,2.69
10,1,6.0,5.05,5.78,3.61,17.5,34.260,72.2,3.61
12,1,15.0,4.96,5.66,3.54,22.0,19.64,70.8,3.54
2,1,14.0,4.8,5.49,3.43,19.0,21.88,68.6,3.43
7,1,13.0,4.49,5.14,3.21,13.0,25.36,64.2,3.21
11,1,12.0,5.05,5.78,3.61,14.5,31.2601,72.2,3.61
10,1,6.0,1.92,2.19,1.37,15.0,0.919,27.4,1.37
12,1,12.0,4.02,4.59,2.87,10.0,23.9,57.4,2.87
2,1,14.0,4.94,5.65,3.53,17.75,24.7299,70.6,3.53
2,1,9.0,3.7,4.22,2.64,14.0,19.239,52.8,2.64
2,1,12.0,4.16,4.75,2.97,15.0,20.52,59.4,2.97
12,1,10.0,3.98,4.54,2.84,3.5,31.94,56.8,2.84
9,1,8.0,0.67,5.2,4.0,18.0,11.5,48.0,2.25
2,1,13.0,4.19,4.78,2.99,14.5,20.34,59.8,2.99
6,0,14.0,5.6,6.4,4.0,18.0,32.0,80.0,4.0
12,1,8.0,3.74,4.27,2.67,8.5,26.22,53.4,2.67
1,1,4.0,1.47,1.68,1.05,6.0,6.80,21.0,1.05
5,0,12.0,4.28,4.9,3.06,17.0,19.9,61.2,3.06
6,0,10.0,5.25,6.0,3.75,21.5,28.5,75.0,3.75
7,1,8.0,3.98,4.54,2.84,24.5,12.94,56.8,2.84
6,0,12.0,3.7,4.22,2.64,19.5,10.7399,52.8,2.64
5,0,12.0,4.72,5.39,3.37,15.5,26.42,67.4,3.37
5,0,11.0,4.1,4.69,2.93,6.5,29.38,58.6,2.93
2,1,10.0,4.41,5.04,3.15,18.5,21.900,63.0,3.15
11,1,9.0,3.25,3.71,2.32,14.0,14.12,46.4,2.32
12,1,14.0,4.23,4.83,3.02,15.0,19.32,60.4,3.02
2,1,6.0,4.56,5.22,3.26,20.0,26.16,65.2,3.26
3,0,10.0,3.81,4.35,2.72,8.5,25.02,54.4,2.72
11,1,14.0,4.59,5.25,3.28,22.0,16.47,65.6,3.28
2,1,10.0,3.81,4.35,2.72,15.0,18.52,54.4,2.72
2,1,10.0,3.88,4.43,2.77,13.0,21.32,55.4,2.77
2,1,12.0,4.27,4.88,3.05,17.0,19.8,61.0,3.05
5,0,11.0,4.23,4.83,3.02,15.0,22.32,60.4,3.02
2,1,15.0,4.49,5.14,3.21,21.5,14.86,64.2,3.21
6,0,12.0,5.36,6.13,3.83,18.0,31.27,76.6,3.83
7,1,5.0,3.23,3.7,2.31,5.0,26.96,46.2,2.31
11,1,9.0,4.02,4.59,2.87,10.0,26.92,57.4,2.87
6,0,13.0,3.89,4.45,2.78,10.0,21.48,55.6,2.78
2,1,8.0,3.68,4.21,2.63,9.0,25.08,52.6,2.63
11,1,13.0,4.06,4.64,2.9,12.0,21.400,58.0,2.9
5,0,14.0,4.35,4.98,3.11,10.5,25.2600,62.2,3.11
11,1,8.0,4.54,5.18,3.24,16.0,27.84,64.8,3.24
8,1,13.5,0.0,5.0,4.5,24.0,23.0,70.0,3.5
2,1,11.0,4.42,5.06,3.16,12.5,27.06,63.2,3.16
12,1,11.0,5.47,6.26,3.91,16.0,35.56,78.2,3.91
2,1,13.0,4.72,5.39,3.37,15.5,25.42,67.4,3.37
12,1,11.0,4.59,5.25,3.28,19.0,22.4799,65.6,3.28
7,1,8.0,2.8,3.2,2.0,5.5,18.5,40.0,2.0
2,1,7.0,4.2,4.8,3.0,15.0,26.0,60.0,3.0
7,1,12.0,4.8,5.49,3.43,16.0,26.88,68.6,3.43
11,1,13.0,4.66,5.33,3.33,17.0,23.279,66.6,3.33
2,1,6.0,3.7,4.22,2.64,9.5,26.74,52.8,2.64
12,1,3.0,3.95,4.51,2.82,10.5,31.62,56.4,2.82
2,1,9.0,2.77,3.17,1.98,7.0,15.68,39.6,1.98
2,1,9.0,4.75,5.42,3.39,21.0,24.2399,67.8,3.39
2,0,8.0,4.07,4.66,2.91,13.5,25.06,58.2,2.91
11,1,11.0,4.47,5.1,3.19,16.0,24.0399,63.8,3.19
5,0,10.0,4.38,5.01,3.13,18.0,22.0800,62.6,3.13
6,0,11.0,4.77,5.46,3.41,19.0,24.56,68.2,3.41
11,1,7.0,2.14,2.45,1.53,6.0,11.48,30.6,1.53
12,1,10.0,3.42,3.9,2.44,17.5,11.5399,48.8,2.44
6,0,12.0,5.36,6.13,3.83,25.0,24.279,76.6,3.83
5,0,10.0,4.61,5.26,3.29,22.0,20.64,65.8,3.29
5,0,9.0,4.87,5.57,3.48,9.5,37.179,69.6,3.48
3,0,4.0,2.91,3.33,2.08,8.5,20.78,41.6,2.08
2,1,14.0,4.47,5.1,3.19,14.0,23.039,63.8,3.19
1,1,12.0,4.79,5.47,3.42,23.0,19.720,68.4,3.42
3,0,13.0,5.5,6.29,3.93,19.0,30.88,78.6,3.93
2,1,12.0,3.42,3.9,2.44,10.5,16.539,48.8,2.44
7,1,13.0,5.08,5.81,3.63,21.0,24.08,72.6,3.63
12,1,9.0,3.42,3.9,2.44,9.0,21.04,48.8,2.44
2,1,6.0,3.42,3.9,2.44,6.5,26.54,48.8,2.44
3,0,10.0,3.33,3.81,2.38,13.5,14.58,47.6,2.38
5,0,4.0,2.72,3.1,1.94,3.5,23.54,38.8,1.94
11,1,11.0,3.18,3.63,2.27,18.5,6.82,45.4,2.27
2,1,12.0,4.33,4.94,3.09,21.0,16.44,61.8,3.09
11,1,13.0,5.0,5.71,3.57,15.5,28.62,71.4,3.57
2,1,9.0,3.88,4.43,2.77,12.0,23.32,55.4,2.77
4,0,11.0,4.68,5.34,3.34,17.0,25.44,66.8,3.34
2,1,10.0,3.98,4.54,2.84,13.5,21.94,56.8,2.84
5,0,12.0,4.83,5.52,3.45,19.0,24.2,69.0,3.45
6,0,6.0,4.26,4.86,3.04,8.0,34.64,60.8,3.04
2,1,9.0,4.02,4.59,2.87,17.5,19.41,57.4,2.87
2,0,7.0,3.6,4.11,2.57,10.0,24.12,51.4,2.57
5,0,7.0,5.1,5.82,3.64,15.5,35.73,72.8,3.64
3,0,6.0,4.12,4.7,2.94,9.5,31.54,58.8,2.94
12,1,11.0,4.69,5.36,3.35,14.5,28.099,67.0,3.35
2,1,12.0,5.42,6.19,3.87,19.5,30.42,77.4,3.87
2,1,11.0,4.7,5.38,3.36,14.0,28.7600,67.2,3.36
12,1,13.0,4.33,4.94,3.09,16.0,20.44,61.8,3.09
11,1,13.0,4.14,4.74,2.96,6.0,28.36,59.2,2.96
4,0,9.0,4.52,5.17,3.23,9.0,33.67999,64.6,3.23
11,1,11.0,3.01,3.44,2.15,6.5,16.9,43.0,2.15
1,1,9.0,4.96,5.66,3.54,18.0,29.64,70.8,3.54
2,1,9.0,5.26,6.02,3.76,19.0,32.16,75.2,3.76
2,1,11.0,4.62,5.28,3.3,13.0,28.8,66.0,3.3
5,0,3.0,2.91,3.33,2.08,9.0,21.28,41.6,2.08
7,1,9.0,4.06,4.64,2.9,14.25,23.150,58.0,2.9
2,1,11.0,4.7,5.38,3.36,24.5,18.260,67.2,3.36
2,1,13.0,5.28,6.03,3.77,19.0,28.3200,75.4,3.77
2,1,13.0,5.07,5.79,3.62,19.5,25.42,72.4,3.62
6,0,5.0,3.42,3.9,2.44,6.5,27.54,48.8,2.44
6,0,13.0,4.31,4.93,3.08,16.0,20.28,61.6,3.08
2,1,5.0,3.99,4.56,2.85,15.2,25.4,57.0,2.85
7,1,9.0,4.94,5.65,3.53,19.0,28.47,70.6,3.53
2,1,4.0,3.15,3.6,2.25,11.0,21.0,45.0,2.25
7,0,7.0,2.91,3.33,2.08,10.0,16.28,41.6,2.08
3,0,10.0,4.33,4.94,3.09,17.0,22.44,61.8,3.09
5,0,11.0,5.17,5.9,3.69,15.0,33.03,73.8,3.69
4,0,12.0,3.6,4.11,2.57,18.0,11.12,51.4,2.57
7,1,10.0,4.48,5.12,3.2,16.0,25.2,64.0,3.2
2,1,4.0,3.67,4.19,2.62,14.5,23.42,52.4,2.62
2,1,13.0,4.38,5.01,3.13,18.0,19.08,62.6,3.13
7,1,13.0,4.17,4.77,2.98,7.5,27.18,59.6,2.98
7,1,13.0,5.11,5.84,3.65,17.5,27.90000000000001,73.0,3.65
1,1,10.0,4.83,5.52,3.45,21.5,23.7,69.0,3.45
2,1,9.0,3.99,4.56,2.85,19.0,17.59999999999999,57.0,2.85
6,0,12.0,4.91,5.62,3.51,13.5,30.66,70.2,3.51
7,1,14.0,5.33,6.1,3.81,21.5,25.46000000000001,76.2,3.81
8,1,12.0,5.52,6.3,3.94,19.0,32.03999999999999,78.8,3.94
12,1,11.0,3.72,4.26,2.66,9.0,22.56,53.2,2.66
12,1,14.0,4.47,5.1,3.19,20.5,16.53999999999999,63.8,3.19
2,1,13.0,5.17,5.9,3.69,22.0,24.03999999999999,73.8,3.69
10,1,12.0,3.35,3.82,2.39,12.0,14.23999999999999,47.8,2.39
2,1,3.0,4.37,4.99,3.12,13.0,33.92,62.4,3.12
2,1,6.0,5.01,5.73,3.58,13.5,37.77999999999999,71.6,3.58
7,1,7.0,4.33,4.94,3.09,13.0,29.44,61.8,3.09
2,1,12.0,5.38,6.14,3.84,23.0,26.44,76.8,3.84
2,1,9.0,4.69,5.36,3.35,11.5,33.09999999999999,67.0,3.35
2,0,6.0,3.96,4.53,2.83,16.0,23.28,56.6,2.83
2,1,11.0,3.44,3.94,2.46,11.0,17.36,49.2,2.46
7,1,9.0,4.8,5.49,3.43,20.25,25.63,68.6,3.43
5,0,10.0,4.87,5.57,3.48,15.0,30.67999999999999,69.6,3.48
3,0,14.0,4.49,5.14,3.21,16.0,21.36,64.2,3.21
7,1,11.0,5.0,5.71,3.57,10.5,35.62,71.4,3.57
6,0,7.0,3.4,3.89,2.43,7.0,24.88,48.6,2.43
3,0,12.0,4.1,4.69,2.93,10.0,24.88,58.6,2.93
7,1,8.0,3.89,4.45,2.78,15.5,20.98,55.6,2.78
2,1,8.0,3.19,3.65,2.28,11.0,17.48,45.6,2.28
2,1,12.0,4.62,5.28,3.3,22.5,18.3,66.0,3.3
7,1,10.0,5.14,5.87,3.67,18.5,30.22000000000001,73.4,3.67
5,0,13.0,5.29,6.05,3.78,16.0,31.47999999999999,75.6,3.78
3,0,13.0,4.09,4.67,2.92,17.0,16.72,58.4,2.92
2,1,7.0,2.88,3.3,2.06,11.0,14.96,41.2,2.06
5,0,13.0,5.12,5.86,3.66,20.0,25.56,73.2,3.66
2,1,8.0,4.7,5.38,3.36,7.0,38.76000000000001,67.2,3.36
1,1,12.0,3.95,4.51,2.82,23.0,10.12,56.4,2.82
4,0,15.0,3.89,4.45,2.78,4.0,25.48,55.6,2.78
12,1,11.0,3.79,4.34,2.71,12.5,19.86,54.2,2.71
5,0,10.0,2.67,3.06,1.91,10.0,10.56,38.2,1.91
5,0,10.0,3.88,4.43,2.77,12.5,21.82,55.4,2.77
2,1,7.0,2.81,3.22,2.01,3.5,21.66,40.2,2.01
5,0,4.0,2.32,2.66,1.66,12.0,10.56,33.2,1.66
3,0,12.0,4.79,5.47,3.42,16.5,26.22000000000001,68.4,3.42
7,1,6.0,2.23,2.54,1.59,9.0,10.44,31.8,1.59
2,1,13.0,4.84,5.54,3.46,19.5,22.86,69.2,3.46
7,1,11.0,4.35,4.98,3.11,12.5,26.26000000000001,62.2,3.11
11,1,14.0,3.02,3.46,2.16,12.5,8.060000000000002,43.2,2.16
4,0,7.0,4.34,4.96,3.1,15.0,27.59999999999999,62.0,3.1
5,0,3.0,3.77,4.3,2.69,5.5,34.54,53.8,2.69
6,0,13.0,5.38,6.14,3.84,22.5,25.94,76.8,3.84
2,1,11.0,3.53,4.03,2.52,5.0,24.32,50.4,2.52
11,1,11.0,3.47,3.97,2.48,17.0,11.68,49.6,2.48
2,1,12.0,3.99,4.56,2.85,18.5,15.09999999999999,57.0,2.85
11,1,15.0,5.22,5.97,3.73,21.0,23.67999999999999,74.6,3.73
4,0,15.0,3.77,4.3,2.69,8.5,19.53999999999999,53.8,2.69
5,0,4.0,3.63,4.14,2.59,2.5,34.94,51.8,2.59
8,1,12.0,3.68,4.21,2.63,4.5,25.58,52.6,2.63
5,0,1.0,3.86,4.42,2.76,15.0,28.16,55.2,2.76
11,1,8.0,2.95,3.38,2.11,16.5,9.260000000000005,42.2,2.11
5,0,12.0,4.09,4.67,2.92,6.0,28.72,58.4,2.92
2,1,3.0,3.78,4.32,2.7,12.0,28.2,54.0,2.7
11,1,15.0,4.35,4.98,3.11,22.0,12.76000000000001,62.2,3.11
7,1,12.0,3.95,4.51,2.82,8.0,25.12,56.4,2.82
2,1,6.0,2.49,2.85,1.78,4.0,18.48,35.6,1.78
2,1,14.0,4.16,4.75,2.97,20.5,13.02,59.4,2.97
2,1,13.0,4.23,4.83,3.02,15.0,20.32,60.4,3.02
4,0,10.0,3.71,4.24,2.65,6.0,26.4,53.0,2.65
12,1,14.0,5.32,6.08,3.8,22.5,24.3,76.0,3.8
6,0,10.0,4.26,4.86,3.04,5.5,33.14,60.8,3.04
10,1,8.0,4.09,4.67,2.92,11.0,27.72,58.4,2.92
6,0,15.0,5.22,5.97,3.73,22.5,22.17999999999999,74.6,3.73
2,1,10.0,4.98,5.7,3.56,19.5,27.46000000000001,71.2,3.56
2,1,4.0,3.51,4.02,2.51,10.5,25.66,50.2,2.51
5,0,13.0,4.3,4.91,3.07,22.0,14.12,61.4,3.07
12,1,11.0,4.55,5.2,3.25,19.0,22.0,65.0,3.25
2,1,12.0,4.61,5.26,3.29,17.0,23.64,65.8,3.29
5,0,15.0,3.4,3.89,2.43,21.0,2.880000000000003,48.6,2.43
6,0,6.0,3.33,3.81,2.38,8.0,24.08,47.6,2.38
2,1,7.0,4.09,4.67,2.92,10.0,29.72,58.4,2.92
11,1,15.0,5.25,6.0,3.75,19.5,25.5,75.0,3.75
2,1,8.0,4.97,5.68,3.55,7.0,41.8,71.0,3.55
2,1,12.0,4.76,5.44,3.4,19.0,23.40000000000001,68.0,3.4
8,1,6.0,4.12,4.7,2.94,8.0,33.03999999999999,58.8,2.94
7,1,7.0,3.54,4.05,2.53,6.0,27.48,50.6,2.53
8,1,13.0,4.2,4.8,3.0,20.5,14.5,60.0,3.0
3,0,11.0,5.43,6.21,3.88,22.0,29.08,77.6,3.88
5,0,10.0,3.5,4.0,2.5,10.0,20.0,50.0,2.5
7,1,9.0,2.52,2.88,1.8,7.25,12.55,36.0,1.8
1,1,12.0,4.31,4.93,3.08,23.33,13.95,61.6,3.08
2,1,7.0,2.16,2.46,1.54,11.5,6.140000000000001,30.8,1.54
7,0,12.0,5.17,5.9,3.69,20.0,27.03999999999999,73.8,3.69
7,1,12.0,5.43,6.21,3.88,16.5,33.58,77.6,3.88
2,1,8.0,3.43,3.92,2.45,14.0,17.2,49.0,2.45
6,0,15.0,4.8,5.49,3.43,24.0,15.88,68.6,3.43
2,1,13.0,4.23,4.83,3.02,13.5,21.82,60.4,3.02
1,1,10.0,4.59,5.25,3.28,13.5,28.97999999999999,65.6,3.28
10,1,12.0,4.06,4.64,2.9,12.0,22.40000000000001,58.0,2.9
5,0,7.0,3.85,4.4,2.75,12.5,24.5,55.0,2.75
7,1,13.0,5.33,6.1,3.81,24.0,23.96000000000001,76.2,3.81
2,1,10.0,4.91,5.62,3.51,22.0,24.16,70.2,3.51
7,1,10.0,4.42,5.06,3.16,14.5,26.06,63.2,3.16
11,1,6.0,3.82,4.37,2.73,16.5,21.18,54.6,2.73
5,0,13.0,4.44,5.07,3.17,8.0,29.72,63.4,3.17
2,1,8.0,3.93,4.5,2.81,9.5,27.46,56.2,2.81
7,0,11.0,4.0,4.58,2.86,9.0,25.76000000000001,57.2,2.86
4,0,9.0,4.3,4.91,3.07,16.0,24.12,61.4,3.07
12,1,12.0,5.18,5.92,3.7,14.0,33.2,74.0,3.7
2,0,8.0,4.17,4.77,2.98,14.0,25.68,59.6,2.98
4,0,14.0,4.94,5.65,3.53,15.0,27.47999999999999,70.6,3.53
2,1,12.0,4.82,5.5,3.44,21.5,21.53999999999999,68.8,3.44
12,1,7.0,4.24,4.85,3.03,17.5,23.98,60.6,3.03
3,0,9.0,3.68,4.21,2.63,6.5,26.58,52.6,2.63
6,0,11.0,4.61,5.26,3.29,10.5,31.14,65.8,3.29
7,1,11.0,3.77,4.3,2.69,9.5,22.54,53.8,2.69
5,0,13.0,3.54,4.05,2.53,25.0,2.479999999999997,50.6,2.53
5,0,8.0,4.28,4.9,3.06,11.5,29.46,61.2,3.06
5,0,12.0,3.64,4.16,2.6,17.5,12.09999999999999,52.0,2.6
4,0,13.0,5.24,5.98,3.74,20.5,26.34,74.8,3.74
4,0,14.0,4.47,5.1,3.19,17.25,19.78999999999999,63.8,3.19
5,0,3.0,2.66,3.04,1.9,1.0,26.4,38.0,1.9
2,1,9.0,3.51,4.02,2.51,10.5,20.66,50.2,2.51
2,0,9.0,3.49,3.98,2.49,12.0,18.84,49.8,2.49
2,1,12.0,4.38,5.01,3.13,20.0,18.08000000000001,62.6,3.13
11,1,13.0,4.34,4.96,3.1,13.0,23.59999999999999,62.0,3.1
12,1,13.0,4.54,5.18,3.24,16.0,22.84,64.8,3.24
10,1,7.0,3.96,4.53,2.83,9.0,29.28,56.6,2.83
4,0,9.0,3.37,3.86,2.41,14.0,15.56,48.2,2.41
2,1,12.0,4.87,5.57,3.48,18.0,25.67999999999999,69.6,3.48
2,1,12.0,3.82,4.37,2.73,8.5,23.18,54.6,2.73
6,0,13.0,5.03,5.74,3.59,14.0,30.44,71.8,3.59
12,1,12.0,4.84,5.54,3.46,20.0,23.36,69.2,3.46
10,1,10.0,5.35,6.11,3.82,16.0,35.12,76.4,3.82
6,0,9.0,4.47,5.1,3.19,10.0,32.03999999999999,63.8,3.19
6,0,12.0,3.96,4.53,2.83,10.0,23.28,56.6,2.83
7,1,10.0,4.09,4.67,2.92,10.0,26.72,58.4,2.92
11,1,7.0,5.25,6.0,3.75,19.0,34.0,75.0,3.75
2,1,11.0,4.34,4.96,3.1,18.0,20.59999999999999,62.0,3.1
2,0,7.0,4.83,5.52,3.45,11.5,36.7,69.0,3.45
2,1,9.0,4.02,4.59,2.87,17.0,19.91999999999999,57.4,2.87
5,0,13.0,5.08,5.81,3.63,17.5,27.58,72.6,3.63
10,1,2.0,3.6,4.11,2.57,4.0,35.12,51.4,2.57
2,1,13.0,4.68,5.34,3.34,20.0,20.44,66.8,3.34
2,0,11.0,4.38,5.01,3.13,20.0,19.08000000000001,62.6,3.13
3,0,13.0,2.76,3.15,1.97,6.0,12.52,39.4,1.97
5,0,12.0,4.17,4.77,2.98,9.0,26.68,59.6,2.98
2,1,6.0,5.03,5.74,3.59,17.5,33.94,71.8,3.59
12,1,15.0,5.19,5.94,3.71,22.0,22.36,74.2,3.71
2,1,4.0,2.27,2.59,1.62,11.0,10.92,32.4,1.62
2,1,9.0,4.75,5.42,3.39,17.0,28.23999999999999,67.8,3.39
2,1,6.0,3.74,4.27,2.67,8.0,28.72,53.4,2.67
7,1,15.0,4.54,5.18,3.24,14.5,22.34,64.8,3.24
2,1,9.0,4.61,5.26,3.29,19.0,24.64,65.8,3.29
10,1,8.0,3.78,4.32,2.7,12.0,23.2,54.0,2.7
4,0,15.0,5.17,5.9,3.69,16.0,28.03999999999999,73.8,3.69
1,1,10.0,3.68,4.21,2.63,21.0,11.08000000000001,52.6,2.63
7,1,12.0,4.7,5.38,3.36,21.0,20.76000000000001,67.2,3.36
2,0,12.0,4.94,5.65,3.53,21.0,23.47999999999999,70.6,3.53
2,0,15.0,4.48,5.12,3.2,18.5,17.7,64.0,3.2
12,1,8.0,4.68,5.34,3.34,20.5,24.94,66.8,3.34
8,1,8.0,4.05,4.62,2.89,12.0,26.23999999999999,57.8,2.89
2,1,8.0,4.73,5.41,3.38,17.5,28.58,67.6,3.38
4,0,13.0,4.28,4.9,3.06,20.0,15.96000000000001,61.2,3.06
11,1,14.0,3.53,4.03,2.52,10.0,16.32,50.4,2.52
2,0,11.0,3.68,4.21,2.63,11.0,20.08000000000001,52.6,2.63
2,1,11.0,4.52,5.17,3.23,19.5,21.17999999999999,64.6,3.23
10,1,11.0,3.12,3.57,2.23,8.0,16.68,44.6,2.23
5,0,12.0,5.1,5.82,3.64,18.5,27.73999999999999,72.8,3.64
11,1,12.0,5.08,5.81,3.63,17.5,28.58,72.6,3.63
7,1,9.0,4.94,5.65,3.53,13.0,34.47999999999999,70.6,3.53
2,0,8.0,4.61,5.26,3.29,14.0,30.64,65.8,3.29
5,0,10.0,4.73,5.41,3.38,20.0,24.08,67.6,3.38
12,1,11.0,3.96,4.53,2.83,10.5,23.78,56.6,2.83
2,1,8.0,4.49,5.14,3.21,19.0,24.36,64.2,3.21
1,1,4.0,5.12,5.86,3.66,22.0,32.56,73.2,3.66
12,1,11.0,3.93,4.5,2.81,10.0,23.96000000000001,56.2,2.81
12,1,12.0,5.28,6.03,3.77,20.0,28.32000000000001,75.4,3.77
5,0,15.0,5.15,5.89,3.68,21.0,22.88,73.6,3.68
4,0,14.0,4.47,5.1,3.19,15.5,21.53999999999999,63.8,3.19
7,1,7.0,3.14,3.58,2.24,4.5,24.34,44.8,2.24
5,0,4.0,4.68,5.34,3.34,9.0,40.44,66.8,3.34
10,1,12.0,4.02,4.59,2.87,11.0,22.91999999999999,57.4,2.87
2,1,14.0,5.1,5.82,3.64,22.5,21.73999999999999,72.8,3.64
7,1,5.0,4.1,4.69,2.93,13.0,28.88,58.6,2.93
2,1,7.0,4.51,5.15,3.22,14.0,30.52000000000001,64.4,3.22
4,0,14.0,4.2,4.8,3.0,10.5,23.5,60.0,3.0
2,1,12.0,5.32,6.08,3.8,12.5,36.3,76.0,3.8
7,0,14.0,4.9,5.6,3.5,22.0,20.0,70.0,3.5
2,1,10.0,4.45,5.09,3.18,11.5,29.38,63.6,3.18
2,1,13.0,4.75,5.42,3.39,18.5,22.73999999999999,67.8,3.39
6,0,12.0,4.94,5.65,3.53,16.0,28.47999999999999,70.6,3.53
2,1,10.0,3.58,4.1,2.56,16.5,14.46000000000001,51.2,2.56
2,0,6.0,3.7,4.22,2.64,6.0,30.24,52.8,2.64
6,0,12.0,4.82,5.5,3.44,16.0,27.03999999999999,68.8,3.44
4,0,13.0,4.58,5.23,3.27,20.0,19.32000000000001,65.4,3.27
7,0,13.0,4.63,5.3,3.31,23.0,16.96000000000001,66.2,3.31
4,0,15.0,4.28,4.9,3.06,22.5,11.46000000000001,61.2,3.06
5,0,15.0,5.45,6.22,3.89,21.0,26.23999999999999,77.8,3.89
2,1,7.0,4.06,4.64,2.9,13.0,26.4,58.0,2.9
2,0,14.0,5.54,6.34,3.96,23.5,25.86,79.2,3.96
11,1,11.0,4.31,4.93,3.08,17.5,20.78,61.6,3.08
7,1,13.0,4.24,4.85,3.03,10.0,25.48,60.6,3.03
12,1,14.0,4.94,5.65,3.53,13.5,28.97999999999999,70.6,3.53
4,0,8.0,3.63,4.14,2.59,22.5,10.94,51.8,2.59
10,1,11.0,5.4,6.18,3.86,19.0,31.76000000000001,77.2,3.86
11,1,4.0,3.16,3.62,2.26,6.5,25.66,45.2,2.26
2,1,12.0,4.61,5.26,3.29,15.0,25.64,65.8,3.29
9,1,9.0,0.21,4.0,4.0,28.79,31.0,77.0,3.75
2,1,7.0,4.24,4.85,3.03,15.0,26.48,60.6,3.03
5,0,15.0,5.46,6.24,3.9,24.0,23.4,78.0,3.9
5,0,13.0,4.77,5.46,3.41,13.0,28.56,68.2,3.41
2,1,10.0,3.05,3.49,2.18,12.5,12.38,43.6,2.18
2,0,10.0,4.21,4.82,3.01,14.5,23.66,60.2,3.01
2,1,8.0,4.16,4.75,2.97,12.0,27.52,59.4,2.97
